Periodo,Caña_de_Azúcar,Café,Algodón_Rama,Uva,Aceituna,Cacao,Té,Palma_Aceitera,Achiote,Orégano,Arroz_Cáscara,Maíz_Amarillo_Duro,Maíz_Amilaceo,Trigo,Cebada_Grano,Quinua,Avena_Grano,Maíz_Morado,Papa,Yuca,Camote,Oca,Olluco,Maca,Mashua_o_Izaño,Alfalfa,Plátano,Limón,Naranja,Manzana,Mango,Piña,Papaya,Mandarina,Palta,Melocotón,Tuna,Sandía,Tangelo,Chirimoya,Lúcuma,Pacae,Melon,Marácuya,Fresa,Granadilla,Pecana,Espárrago,Maíz_Choclo,Tomate,Ajo,Cebolla,Cebolla China,Zapallo,Pimiento_Morrón,Piquillo,Zanahoria,Páprika,Alcachofa,Rocoto,Ají,Frijol_Grano_Seco,Arveja_Grano_Verde,Arveja_Grano_Seco,Haba_Grano_Verde,Haba_Grano_Seco,Pallar_Grano_Seco,Frijol_Caupi_Grano_Seco,Lenteja_Grano_Seco,Chocho_o_tarhui,Garbanzo_Grano_Seco,Ave,Ovino,Porcino,Vacuno,Caprino,Alpaca,Llama,Huevos,Leche_fresca,Fibra_Alpaca,Fibra_Llama,Lana
201201,822.6,0.9,6.3,41.4,0,3.2,0.3,36.2,0,0.4,244.1,103.2,0.4,0.1,0,0.3,0,1.4,206,91.6,20.3,0,5,0,0,553.3,178.2,19.8,24.5,11.8,55.9,43.9,8.8,5.3,12.8,2.7,11.3,14.4,2.2,0.3,1,5,1.5,5.3,3.3,1.6,0,26,31,38.5,3.4,46,1.7,12.2,4,7.8,12.3,5.1,3.5,1,3.4,2.7,7.3,0,4.4,0,0.1,0.8,0,0,0,117.7,6.2,13.4,27.1,1.2,1.5,0.6,25.9,146.3,0.3,0.1,0.8
201202,734.7,6,10.6,50.7,0,3.7,0.8,36.2,0,0.5,130.9,114.6,1.7,0.1,0,0.1,0,1.9,251.8,83.5,16.9,0,5.5,0,0,590,173.6,24.2,21.2,15.5,39.8,37.1,9.4,6.6,14.2,6.1,19.8,11,2.9,1.1,2.3,11.1,1.9,5.3,1.9,2,0,26.3,34.6,26,2.8,39,2.1,18.7,2,0,10.9,4.1,3,1,5.3,1.9,12.8,0.1,9.4,0,0,0.6,0,0,0,117.9,6.8,13.1,28.4,1.2,1.9,0.7,25.7,148.6,0.9,0.1,3.4
201203,808.7,21.4,4.6,51.5,5.3,3.9,0.4,34.6,0,0.5,201.3,95.3,1.6,0.2,0.3,0.3,0,2.6,350.1,80.5,19.2,1,9.7,0,0.2,689,168.9,27,23.4,18,23.1,35.1,9.4,15.7,26.2,11,23.4,10.8,6.2,2.1,3.8,7,1.7,5.1,1.3,2.4,0,30.8,52,17.2,3.2,44.7,1.9,21.7,1.1,2.9,15.1,6.2,3.9,1.1,4.8,1.8,14.4,0.1,12.7,0.2,0,0.4,0,0.3,0,114.7,7.6,13.3,30.4,1.4,2.1,0.8,25.7,161.6,0.7,0.1,3.2
201204,690.6,54.4,27,41.1,33.3,5.3,0.4,36.9,0,2.2,262.6,78.5,20.2,0.8,9.2,23.1,1.9,3,775.8,89.6,20.1,23.6,28.2,0,5.1,706.3,172.4,27.3,32.9,18.8,7.8,34.3,10.5,28.4,33.2,2.6,11.3,5.6,8.9,4,2.9,5.2,1.6,5.1,0.6,3.2,0.1,25.6,69.3,9.9,2.9,57.3,1.6,18.6,2.3,3,14.4,7.1,2.5,1.3,6.1,4.9,16.7,0.7,13.4,6,0,2.4,0,0,0,110.7,8.6,13.6,33.1,1.4,2.7,0.9,25.7,165.4,0.1,0,0.6
201205,684.8,79.4,26.7,10.6,27.6,7.8,0.2,42.3,0,1.4,526.6,119,88.3,10.2,29.3,12.5,4.3,1.7,1023.1,102.9,19.7,39.8,62.5,0.2,15.1,616.5,174.4,25.4,43.7,13.1,3.4,31.8,11.2,39.9,42.4,1.4,5,2.5,8,3.5,1.7,4.4,1.3,4.3,0.3,3.5,0.7,25.5,37.9,13.7,3.8,54.2,2,16,2.4,0,15.3,7.2,2.5,1.3,3.8,14.8,11.7,7.9,8.9,21.9,0.1,16,0.1,2.3,0,120.6,9.1,14.3,33.5,1.5,2.8,1,25.8,163.9,0.1,0,0.5
201206,673.3,76.8,19.1,3.6,17.1,8.5,0.2,40.2,0.1,0.7,597.6,153.7,91.1,47.1,58.5,5.2,4,0.9,578.2,103.1,23.7,21.3,45.3,4.4,9.8,523.3,174,20.5,57.4,12.7,0.1,28.8,10.5,44.3,39.8,1.8,1.8,3.9,11.1,2,0.8,1.3,1.4,3.8,0.5,3.3,0.9,25.2,18.4,13.1,3.1,58.4,2,17.8,2.9,0.9,15.8,4.7,3.5,1.1,5.6,15.7,12.8,9.7,4,25.2,0.2,1.6,0.9,2.1,0,115,9.3,14.1,33,1.5,2.8,1,25.9,156.2,0,0,0.2
201207,833.7,45.9,10.5,3.9,5.4,7.3,0.2,40.8,0.9,0.5,350.1,145.7,53.8,77.4,81,2.1,3,0.7,240,93.1,30,5.5,15.8,8.6,1.2,461.3,171.6,15,69.7,9.8,0.1,26.4,10.7,38.9,30.5,2.7,0.4,3.8,24.8,1.4,0.6,0.4,1.2,3.4,1.1,2.8,0.4,22.3,16.1,12.3,3,83.5,1.8,15.5,2,0,15.9,3.1,6.5,1,4.8,15.7,9.4,9.4,2.6,16.4,0.2,0.9,1.8,1.2,0,123.2,9.1,14.6,32.9,1.5,2.9,1,26,151.7,0,0,0.2
201208,1026.4,22.3,1.2,3.9,3.8,5.2,0.1,42.4,1.6,0.3,93.8,109,17.8,48.3,27.8,0.3,0.2,0.9,155.2,88.8,22.2,1.1,3,5.2,0.1,479.2,168.9,11.6,40.6,9.5,0.1,26,10.1,31.2,18.7,4,0.3,4.4,9.9,0.5,0.2,0.3,1.5,4.1,1.3,2.2,0.3,24.6,18,12.2,3.8,110.2,2.2,36.1,1.1,0,18.7,2.7,16.9,1,2.7,15.8,9.6,8.7,2.1,3.1,2.5,1.7,0.9,1.2,0,123.1,8.2,13.9,30.8,1.4,2.5,0.9,26.2,145,0,0,0.1
201209,1042.7,8.1,2.8,3.6,0,4.2,0.1,47,1.8,0.3,100.6,96.6,3.9,19.7,7,0.1,0,1.2,181.3,88.5,23.2,0.4,1.4,0.5,0,481.9,170.1,9.9,29.3,10.1,2,31.5,9.8,28.6,9.5,5.9,0.2,5.9,2.5,0.2,0.1,1,2.1,3.7,2.7,2.4,0,34.2,25.8,11.6,5.8,60,2.2,15.1,2.1,7.4,16.7,0.8,29.5,1.4,2.4,8.4,8.9,7.9,1.8,0.6,4,2.8,0.1,1.8,0.3,120.6,7.7,13.7,30,1.3,2.2,0.8,26.3,138.4,0,0,0.1
201210,1018.7,3.6,1.6,32.3,0,4.3,0.1,54.3,0.5,0.8,138.8,101.3,0.7,7.2,0.7,0.1,0,1.3,189,92.2,23.4,0.1,0.6,0,0,499,174.3,12.2,29.2,10.3,6.6,44.1,10.7,18.3,12.5,4.6,0.4,9.7,1.2,0.3,0.1,1.2,1.8,2.6,4.4,2.4,0,47.5,21.5,13.2,11.2,82.3,2.1,11.6,10.2,3.4,15.3,2.5,36.1,1.3,2.1,5.2,4.3,4.8,1.3,0.1,1.5,3.7,0,2.1,0.8,122.9,6.9,13.8,28.5,1.1,2,0.7,26.5,138.5,0.1,0,0.1
201211,1069.3,0.8,0.1,48.5,0,4.2,0.2,54.9,0.1,2.3,133.1,146.7,0.9,11.4,0.5,0.1,0,1.3,259.9,101.2,54.3,0,0.8,0,0,525,175.8,13.1,30.6,9.8,13.8,50.4,11.5,14.1,13,2.7,1.9,9.1,1.2,0.2,0.1,1.4,1.7,2.9,5.5,2.9,0,49,17.2,21.3,24.1,54.3,2.3,10.8,5.8,3.8,13.3,1.2,22,1.2,2.5,3.1,4.1,3.2,1.7,0.1,4.3,3.4,0,0.5,1.2,115.2,6.8,13.9,28.8,1.2,1.8,0.6,26.8,136.5,1.9,0.3,1
201212,963.3,0.6,0.6,70.6,0,4.9,0.4,52.3,0.1,1.6,263.9,129.4,0.6,3.7,0.3,0.2,0,1.7,264.3,103.6,31.1,0,2.9,0,0,571.6,179.9,15.7,26.3,7.5,32.6,47.4,11.2,9.9,15.7,2,6.2,13.6,1.4,0.2,0.2,1.5,3.2,4.4,7.5,2,0,39.1,19.7,40.4,15.1,62.1,1.9,15.8,9.4,1,15.9,2.1,11.9,1.2,3.3,2.4,5.5,0.6,3.2,0.1,1.4,2.9,0,0.1,0.3,127,6.7,16.7,30.2,1.3,1.6,0.7,27.6,141.4,0.6,0.1,0.6
201301,887.6,0.8,5.3,49.4,0,3.9,1,51,0,0.3,200.4,93.5,0.1,0.1,0,0.2,0,2.1,216.7,84.6,20.7,0,4,0,0,603.4,178.7,16.8,24.5,11.7,198.3,45.1,11.4,6.4,13,2.7,11,15,2.2,0.1,1.1,7.2,2.3,3.6,3.6,2.4,0,25.6,39.4,42.7,5.8,50.4,1.8,17.4,1.6,7.3,14.9,3,4.2,1.1,7,2.8,8.9,0.1,4.2,0,0.2,1.1,0.1,0,0.1,127.4,6,13.6,28,1.2,1.8,0.6,28.2,148,0.3,0.1,0.8
201302,856.3,4.8,10.3,46.6,0,4.6,0.9,43.4,0,0.3,137.1,113.3,0.9,0.1,0,0,0,2.5,254.1,90.1,20.1,0.1,5.9,0,0,630.5,173.9,20.8,23.2,16.8,119.9,40.7,13,7.9,14,6.1,20.1,11.7,4.1,1.6,3.1,11.3,2.5,5,3,3.3,0,27.3,44.7,37.7,1.5,41.1,2.2,17.4,1.7,2.1,11.8,2.8,3.8,1.2,4.7,2.4,13.9,0.1,9,0.1,0.1,0.9,0,0,0,126.9,6.6,13.3,28.8,1.3,2.1,0.7,28.5,147.4,0.7,0.1,3.1
201303,781.6,18,4,54.7,3.2,4.6,0.7,41.1,0,0.6,285.1,102.1,2.2,0.3,0.2,0.1,0,2.9,411.7,85,20.5,1.8,10.7,0,0.2,763.6,176.2,29.5,24.4,17.1,57.2,37.3,12.6,17.2,22.3,10.4,22.7,10,6.4,3.3,4.1,6.5,1.4,5.2,0.8,3.2,0,31.3,65.7,24.7,1.4,44.7,1.6,20.7,1.7,0.8,16,3.1,3.5,1.2,5.8,2.2,16.4,0.2,13,0.3,0.1,0.7,0,0,0,126.1,7,13.6,30.6,1.4,2.1,0.7,28.9,162.5,0.6,0.1,3
201304,908.7,44.4,22.8,40.8,23.9,6.3,0.3,43.6,0,2.6,240.9,90.3,24.4,1.7,13,20.9,2.4,2.7,843,92.3,19.9,26.4,32.4,0,7.2,755.1,173.8,28.3,33,19.7,8.9,35.1,13.6,31,36.8,2.8,12.8,8.2,8.5,5,3.4,4.1,1.3,5.2,0.4,4.6,0,24.7,72.6,15,2.1,53.7,2.1,21.8,2,0,15.2,4.5,3.5,1.3,3.7,5,16.5,1.2,14.3,7,0.1,0.7,0,0,0,112.8,8.2,13.7,33.4,1.4,2.7,0.9,29.3,166.2,0,0,0.6
201305,924.5,63.5,17,12.8,20.3,9.3,0.3,44.9,0,2,496.5,89.8,102.4,7.7,33.6,15.4,4.4,1.6,1058.7,100.8,18,39.4,68,0.2,15.3,644.8,176.5,23.9,45,13.8,1.7,33,13.1,42.9,50.5,2,5.2,5.3,8.1,4.5,1.1,3,2,2.9,0.3,4,0.6,25,41.4,15.9,2.9,47.9,2.1,19.5,3.5,0,13.6,8,3.1,1.3,2.4,16.7,12.2,8.9,9.3,23,0.1,2.3,0.2,1.6,0,125,8.4,14.5,34.2,1.5,2.8,1,29.4,163.5,0,0,0.6
201306,810.9,65.1,9.7,3.5,6.1,9.5,0.2,29.5,0.1,0.8,733.3,136.1,95.9,52.6,67.4,6.5,3.6,0.8,487.6,107.9,22.6,20,45.6,6.5,7.1,539.5,177.1,20.4,62,14,0.2,31.5,13.2,48.9,43.1,2.3,1.6,2.5,11.9,3.2,0.7,2,1.2,2.6,0.4,3.7,1,25.6,17.1,21.3,3.3,44.9,1.7,15.8,1.5,0,13.2,3.8,3.8,1.3,5,15.8,10.2,10.4,4.9,25.5,0,1.4,0.9,2.6,0,124.8,8.4,14.2,33.7,1.5,2.8,1,29.6,156.7,0,0,0.2
201307,713.9,36.5,7.4,3.4,2,7.7,0.1,35.2,1.1,0.5,296,156.7,56.3,72.3,68.1,3.3,2.7,0.7,196,102.6,23.2,5.3,13.9,9.9,1.1,475.7,175.3,17,74.9,11.1,0.1,28.3,12.4,47.6,35.4,2.8,1.1,3.4,19,2.2,0.3,0.8,0.8,2.7,0.9,4.2,0.6,20.9,13.3,13.9,3.2,87,2,18.5,1,0,14.7,2.4,4.2,1.2,3.6,14.3,10.5,9.1,4.1,17.3,0.1,0.8,2.1,1.7,0,136,8.5,14.8,34,1.5,2.8,0.9,29.3,153.1,0,0,0.2
201308,955.9,16.2,3.8,3.6,1.6,5.5,0.1,43.4,2.4,0.4,83,130.3,17.5,56,32.7,0.7,0.2,1.3,142.4,100.8,31.4,0.9,1.7,5.5,0.1,480.8,175,11.8,40.3,11.5,0.4,26.6,12,34.8,22,5.2,0.9,7.7,15,1.7,0.2,0.2,1.7,2.5,2.9,4.1,0.1,25,20.8,15,5.6,94,2,29.1,3.1,9.1,18.1,1.2,11.4,1.1,2.5,14.6,11.2,9.4,2,4.3,2.9,1.2,0.6,1.7,0.1,122.4,7.8,14.1,32,1.4,2.4,0.8,29.4,147,0,0,0.2
201309,1059.3,4.5,1,4.4,0.6,4.9,0.1,52.8,2.5,0.6,117.6,84.6,4.9,17.2,7.7,0.8,0.1,1.6,173.6,103.5,26,0.7,1.4,0.4,0.1,484.3,170,10.5,28.3,10.1,5,31.2,12.4,26.7,12.8,6,0.8,5.8,9.4,0.3,0.1,0.6,1.8,1.4,3.1,3.8,0,40.2,24.6,13.5,10.2,82.4,1.6,12.3,0.7,3.8,18.1,2.6,21.7,1.2,2.5,9.1,11.4,6.9,1.8,0.9,2.1,2.7,0.1,2.1,0.8,126.3,7.1,13.9,31.5,1.3,2.1,0.7,29.4,140.4,0,0,0
201310,1034.9,2.2,0.3,52.5,0.1,4.7,0.1,62,1.1,1,137.8,105.9,1.1,9.3,1,0.9,0,1.4,216.9,105.8,19.3,0,0.6,0,0,516.6,176.4,14.1,30.4,10.2,8.7,41.9,12.3,18.7,12.9,4.3,1.5,5.8,1.3,0.1,0,1,2.3,1.3,4.2,3.9,0,47.8,22.5,11.6,11.1,60.3,2,21.1,4,4.8,19.1,2.3,23,1.1,2,4.8,6.4,4.8,1.5,0.2,1.1,2.9,0,1.7,1.1,135.7,6.5,14,30.6,1.2,2,0.7,29.5,140,0.1,0,0.1
201311,1022.4,0.4,0.5,81.8,0,5,0.2,60.7,0.1,2.5,106,145.6,1.1,9.2,0.3,1.6,0,1.1,266.6,104.7,46.6,0,0.4,0.1,0,530,178.7,15.6,30.5,10.3,22.6,50.2,12.7,23.2,12.8,3.3,1.8,6,1.1,0.1,0.1,1.3,1.7,2.4,4.9,4.1,0,50.2,15.9,10.7,23.5,83.3,2,9.1,6,2.4,11.2,1.2,20.4,1.1,2,3.3,6.6,2.9,1.7,0.1,1.5,2.8,0,0.7,0.2,129.8,6.4,13.9,30.2,1.2,1.8,0.6,29.3,138.9,1.9,0.3,0.9
201312,1036.3,0.5,0.6,85.8,0,5.8,0.3,59,0.1,2.5,213.1,116.4,0.6,3.8,0.3,1.8,0,1.4,302.4,113.4,23.7,0,1.7,0,0,562.4,182.1,19.5,24.6,10.1,35.9,48,13.3,8.6,13.4,2.3,6.4,9.7,1.6,0.1,0.2,1.6,1.6,4.2,6.4,3.9,0,39.4,21.5,31.6,10.8,58.3,1.8,16.8,6,5.7,12.2,0.9,10.3,1.2,1.9,2,5.9,0.5,2.9,0,1,1.4,0,0,1.1,136.6,6.4,16.6,31.6,1.3,1.6,0.7,29.1,144.1,0.7,0.1,0.8
201401,937.7,0.3,4.8,50.5,0,4.7,0.9,55,0,0.7,207.6,97.3,0.2,0.1,0,1.5,0,1.8,234.4,88,21.5,0,2.9,0,0,586.3,180.6,22.9,24.9,13.8,219.4,44.9,11.9,7.6,13.8,3.1,10.4,12.5,2.2,0.4,1.5,8.3,2.4,3.7,3.1,3.3,0,28.8,34.7,48.3,2.8,50.9,1.9,17.7,4,2.2,13.2,2.3,3.5,1.2,3.9,3.3,9.5,0,4.5,0.1,0.1,0.3,0,0.1,0,130.6,6,14.4,28.8,1.2,1.8,0.6,28.8,152.4,0.2,0,0.7
201402,927.5,2.7,6.9,53.7,0,5.3,0.8,53,0,0.7,152.9,107.6,1.3,0.1,0,1.6,0,2,264.3,85.6,18.7,0,5.7,0,0,608.4,178.8,23.5,22.5,18.4,71.6,42.6,12.8,10.6,14.3,8,20.5,11.8,3.6,0.9,3.2,11.9,3.2,5,1.7,4,0,29,44.3,44,1.1,36.1,1.7,19.7,0.9,0,13.3,1.7,3.5,1.3,4.8,2.4,13.4,0,8.7,0.1,0.1,0.5,0,0,0,121.2,6.4,14.1,29.5,1.2,2.1,0.7,29,152.2,0.7,0.1,3
201403,927.4,16,5.5,60.8,8.9,5.7,0.6,52,0,0.9,250.6,101.3,2,0.4,0.2,2.3,0,2.7,403.1,82.4,17.2,0.9,9.7,0,0.1,755,178.3,28.8,25.1,18.3,40.2,39.3,12.7,19.9,27,10.2,22.6,10.8,6,2.3,4.1,7.6,1.8,5.4,0.6,4.6,0,32.4,60,15.7,3.2,40.2,1.9,18.1,3.8,0.4,15.7,2.1,5.6,1.3,5.8,2,17.8,0.2,12.8,0.2,0.1,0.5,0,0,0,137.4,6.8,14.2,30.6,1.3,2.2,0.7,29.5,166.7,0.6,0.1,2.8
201404,945.4,38.3,19.1,49.5,42.1,7.5,0.2,49.3,0,3.1,321.2,91.8,24,0.9,10.7,27.2,2.5,2,869.3,94.1,18,25.2,37.2,0.1,6,756.3,175.7,30.2,34.1,19.8,5,36.6,13,38.4,52.9,3.4,12.5,7.1,8.2,4.3,2.8,4.8,1.5,5.3,0.7,6.4,0,27.7,77,13.6,3.8,33.1,2,21.9,1.1,0.7,14.9,2.1,3.6,1.5,4,4.8,14.5,1.1,13.8,8,0,0.5,0,0,0,129,7.8,14.5,32.7,1.3,2.7,0.9,29.6,170.5,0,0,0.4
201405,945.5,52.7,23.5,13.3,32,10,0.1,53.2,0,2.8,426.9,85.8,93.9,9.7,36.4,24.5,5.2,1.9,1083.6,103.7,18.3,39.9,66.4,0.3,14.7,610.9,177.7,25.2,45.2,14.6,2.3,34.3,12.9,58.8,65.5,1.7,5,4.7,8.5,3.9,1.9,2.8,1.4,3.4,0.1,5.4,0.4,26.6,38.7,12.4,3.4,45.9,2,18.7,2.1,0,15.4,5.2,3.7,1.5,2.5,13.5,10,9.4,8.9,24.8,0,1.3,0.1,1.9,0,131.7,8.2,15.1,34.2,1.4,2.8,0.9,29.7,167.1,0,0,0.5
201406,763.5,59.6,14.9,4.1,27,10.9,0.2,46,0.1,0.7,453.9,132.9,100.8,48.2,70.2,15.3,4.6,1.1,492.2,100.6,23.6,17.3,45.6,4.2,6.7,500.3,177.5,22.2,57.9,11.9,0.1,31.5,12.7,53.6,65.1,2.5,1.6,3.6,13.9,2.2,1,1.7,1.3,2.8,0.3,4.7,1.3,25.4,21.3,14.5,3.1,46.5,1.8,16.9,0.9,0.1,13.3,5.3,3.4,1.6,5.9,16.3,11.1,8.6,4.5,25.6,0.1,3.3,0.7,2.4,0,133.3,8.3,15.1,34,1.4,2.9,1,30,159.3,0,0,0.2
201407,722.5,31.7,8.2,4.6,22.5,9.2,0.2,42.7,1.2,0.4,335.6,137.6,49.9,67,60.4,9,2.1,1,218.1,98,24.4,4.9,14,10.2,1.1,427.9,173.1,19.7,73.2,11.3,0.1,29.2,12.1,40,35.7,3,1.5,4.8,24.5,1.2,0.5,0.8,1,2.7,1.4,4.1,0.5,20.7,15.4,15.3,3.7,90.5,2,23.4,0.4,0.7,12.7,1.5,3.7,1.4,3.5,12.5,14,10,3.3,16.2,0.5,1.3,1.9,1.3,0,136.3,8.3,15.8,35.1,1.4,2.9,0.9,30,155.4,0,0,0.2
201408,1033.1,13.4,7.5,5.6,12,6.7,0.1,46.9,2.2,0.5,133.2,97.5,20.3,56.8,39,6.1,0.3,1,151.4,102.9,26.3,1.9,3.7,6.5,0.5,436.5,170.9,17.1,44.6,10.8,0.3,27,11.8,32.5,23.6,4.7,1.3,6.6,13.5,1.2,0.2,0.2,1.6,2.7,2.5,3.4,0.1,25.8,21.7,14.1,5.8,71.8,1.9,25.7,0.7,1.4,17.8,1.6,8.1,1.3,2.3,15.6,10.6,9.7,3.6,4.9,3.5,1.8,0.5,2.1,0.1,134.6,7.8,15.2,32.9,1.4,2.5,0.8,30.1,148.4,0,0,0.1
201409,1057.7,5.5,1.1,9.2,5.3,5.4,0.1,52,2.1,0.6,111.3,90.8,5.2,19.8,8.2,5.1,0,1.6,196.3,104,21.4,0.7,0.9,0,0,446.6,172.8,17,37.5,10.3,1.8,32.8,11.7,22,12.1,5.7,1,5.6,3.4,0.6,0.1,0.7,1.5,1.8,4.1,2.5,0,34.3,20.9,16.3,8.9,78.7,1.7,21.9,7.8,6.5,12,3.7,12.5,1.4,2.4,8.5,11,5.9,2.3,1,1,2.2,0,2.5,0.1,130.4,7.1,14.9,32.2,1.2,2.2,0.8,30.3,141.9,0,0,0.1
201410,1067.2,1.8,0.4,55.1,2,5.2,0.1,55.1,0.8,1.7,135,88,2.1,4.3,0.8,7,0,1,245.5,110.1,29.3,0,0.9,0,0,467.6,175.9,18.1,32.1,10.7,2.9,39.7,11.7,20.3,11.8,5.1,0.9,4.7,2,0.5,0.1,0.9,1.2,1.7,5.4,2.8,0,42.3,25.4,16.6,11.1,78.2,1.8,19,6.1,1.9,14.1,2.5,21.6,1.4,4,4.7,6.5,5.1,1.6,0.1,2.4,1.8,0,1.5,0.9,137.5,6.5,14.9,31.5,1.1,2.1,0.7,30.4,140,0.1,0,0.1
